OMAL,Al Ain International Airport,24.2617,55.6092,125.0,AvGas
OMAA,Abu Dhabi International Airport,24.433,54.6511,124.0,JA-a
OMAD,Al Bateen Executive Airport,24.4283,54.4581,125.0,AvGas
OMAM,Al Dhafra Air Base,24.2482,54.5477,125.0,JA-a
OMBY,Sir Bani Yas Airport,24.2836,52.5803,129.0,AvGas
OMDL,Dalma Airport,24.51,52.3352,136.0,AvGas
OMFJ,Fujairah International Airport,25.1122,56.324,121.0,JA-a
OMSJ,Sharjah International Airport,25.3286,55.5172,130.0,AvGas
OMDW,Al Maktoum International Airport,24.8964,55.1614,123.0,AvGas
OMDB,Dubai International Airport,25.2528,55.3644,127.0,AvGas
OMDM,Al Minhad Air Base,25.0268,55.3662,120.0,AvGas
OMRK,Ras Al Khaimah International Airport,25.6135,55.9388,128.0,JA-a
OADZ,Darwaz Airport,38.4611,70.8825,129.0,AvGas
OAFZ,Fayzabad Airport,37.1211,70.5181,131.0,JA-a
OARZ,Razer Airport,37.752,-89.0154,124.0,JA-a
OAHN,Khwahan Airport,37.883,70.217,130.0,AvGas
OASN,Sheghnan Airport,37.567,71.5,130.0,AvGas
OAQN,Qala i Naw Airport,34.985,63.1178,131.0,JA-a
OAMS,Mazar-e Sharif International Airport,36.7069,67.2097,128.0,AvGas
OABN,Bamyan Airport,34.817,67.817,132.0,AvGas
OAFR,Farah Airport,32.367,62.183,126.0,AvGas
OAMN,Maymana Airport,35.9308,64.7609,122.0,AvGas
OAGN,Ghazni Airport,33.5312,68.4129,121.0,JA-a
OADS,Sardeh Band Airport,33.3207,68.6365,121.0,JA-a
OACC,Chaghcharan Airport,34.5265,65.271,126.0,JA-a
OABT,Bost Airport,31.5597,64.365,119.0,AvGas
OADY,Dwyer Airport,31,64,118.0,AvGas
OAZI,Camp Bastion Air Base,31.8638,64.2246,132.0,JA-a
OAHR,Herat International Airport,34.21,62.2283,119.0,JA-a
OASD,Shindand Air Base,33.3913,62.261,121.0,AvGas
OAZJ,Zaranj Airport,30.9722,61.8658,119.0,AvGas
OAGZ,Gardez Airport,33.6315,69.2394,122.0,JA-a
OAKB,Kabul International Airport,34.5658,69.2131,119.0,AvGas
OAKN,Kandahar International Airport,31.5058,65.8478,122.0,JA-a
OATN,Tarinkot Airport,32.6042,65.8658,132.0,JA-a
OARG,Uruzgan Airport,32.903,66.6309,130.0,AvGas
OAKS,Khost Airfield,33.3334,69.952,130.0,JA-a
OASL,Forward Operating Base Salerno,33.3638,69.9561,134.0,AvGas
OAUZ,Kunduz Airport,36.6651,68.9108,130.0,AvGas
OASH,Forward Operating Base Shank,33.9225,69.0772,121.0,JA-a
OAJL,Jalalabad Airport,34.3998,70.4986,126.0,JA-a
OASA,Sharana Airstrip / Forward Operating Base Sharana,33.1258,68.8385,126.0,AvGas
OAOG,Urgun Airport,32.9318,69.1563,118.0,JA-a
OAIX,Bagram Airfield,34.9461,69.265,121.0,JA-a
OATQ,Taloqan Airport,36.7707,69.532,129.0,JA-a
TAPH,Barbuda Codrington Airport,17.6358,-61.8286,130.0,JA-a
TAPA,V. C. Bird International Airport,17.1367,-61.7927,136.0,JA-a
TQPF,Clayton J. Lloyd International Airport,18.2048,-63.0551,120.0,AvGas
UDYZ,Zvartnots International Airport,40.1473,44.3959,127.0,AvGas
UDSG,Gyumri Shirak Airport,40.7504,43.8593,135.0,JA-a
FNAM,Ambriz Airport,-7.86222,13.1161,134.0,JA-a
FNBJ,Luanda Dr. Antonio Agostinho Neto Angola International Airport,-9.0491,13.5,125.0,JA-a
FNBG,Benguela Airport (Gen. V. Deslandes Airport),-12.609,13.4037,126.0,JA-a
FNCT,Catumbela Airport,-12.4792,13.4869,126.0,AvGas
FNLB,Lobito Airport,-12.3757,13.561,129.0,JA-a
FNKU,Kuito Airport,-12.4046,16.9474,136.0,JA-a
FNCA,Cabinda Airport,-5.59699,12.1884,123.0,AvGas
FNGI,Ondjiva Pereira Airport,-17.0435,15.6838,120.0,AvGas
FNXA,Xangongo Airport,-16.7554,14.9653,135.0,JA-a
FNHU,Albano Machado Airport,-12.8089,15.7605,121.0,JA-a
FNUB,Lubango Mukanka Airport,-14.9247,13.575,122.0,AvGas
FNCV,Cuito Cuanavale Airport,-15.1603,19.1561,128.0,AvGas
FNME,Menongue Airport,-14.6576,17.7198,122.0,JA-a
FNWK,Waco Kungo Airport,-11.4264,15.1014,120.0,AvGas
FNSU,Sumbe Airport,-11.1679,13.8475,122.0,AvGas
FNPA,Porto Amboim Airport,-10.722,13.7655,129.0,AvGas
FNLU,Quatro de Fevereiro Airport,-8.85837,13.2312,120.0,JA-a
FNCF,Cafunfo Airport,-8.78361,17.9897,133.0,AvGas
FNDU,Dundo Airport,-7.40089,20.8185,118.0,AvGas
FNLK,Lucapa Airport,-8.44573,20.7321,131.0,AvGas
FNLZ,Cuango-Luzamba Airport,-9.11596,18.0493,136.0,AvGas
FNZG,Nzagi Airport,-7.71694,21.3582,136.0,JA-a
FNCH,Chitato Airport,-7.35889,20.8047,118.0,AvGas
FNSA,Henrique de Carvalho Airport,-9.68907,20.4319,118.0,JA-a
FNCP,Kapanda Airport,-9.76937,15.4553,130.0,AvGas
FNMA,Malanje Airport,-9.52509,16.3124,121.0,JA-a
FNCZ,Cazombo Airport,-11.8931,22.9164,129.0,AvGas
FNUE,Luena Airport,-11.7681,19.8977,126.0,JA-a
FNUA,Luau Airport,-10.7158,22.2311,119.0,JA-a
FNMO,Namibe Airport (Yuri Gagarin Airport),-15.2612,12.1468,132.0,JA-a
FNNG,Negage Airport,-7.75451,15.2877,121.0,JA-a
FNUG,Uige Airport,-7.60307,15.0278,134.0,JA-a
FNZE,N'zeto Airport,-7.25944,12.8631,136.0,JA-a
FNBC,Mbanza Congo Airport,-6.2699,14.247,130.0,AvGas
FNSO,Soyo Airport,-6.14109,12.3718,131.0,AvGas
SCRM,Teniente R. Marsh Airport,-62.1908,-58.9867,125.0,JA-a
SABE,Aeroparque Internacional Jorge Newbery,-34.5589,-58.4164,118.0,AvGas
SAZB,Comandante Espora Airport,-38.725,-62.1693,122.0,AvGas
SAZC,Brigadier Hector Eduardo Ruiz Airport,-37.4461,-61.8893,120.0,AvGas
SADP,El Palomar Airport,-34.6099,-58.6126,124.0,JA-a
SAEZ,Ministro Pistarini International Airport,-34.8222,-58.5358,128.0,JA-a
SAAJ,Junin Airport,-34.5459,-60.9306,119.0,AvGas
SADL,La Plata Airport,-34.9722,-57.8947,129.0,JA-a
SAZM,Astor Piazzolla International Airport,-37.9342,-57.5733,136.0,JA-a
